,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
0,Afghanistan,0.0,0.0,0.0,0.0,Asia
1,Albania,89.0,132.0,54.0,4.9,Europe
2,Algeria,25.0,0.0,14.0,0.7,Africa
3,Andorra,245.0,138.0,312.0,12.4,Europe
4,Angola,217.0,57.0,45.0,5.9,Africa
5,Antigua & Barbuda,102.0,128.0,45.0,4.9,North America
6,Argentina,76.0,25.0,221.0,8.3,South America
7,Armenia,21.0,179.0,11.0,3.8,Europe
8,Australia,261.0,72.0,212.0,10.4,Oceania
9,Austria,279.0,75.0,191.0,9.7,Europe
10,Azerbaijan,21.0,46.0,5.0,1.3,Europe
11,Bahamas,122.0,176.0,51.0,6.3,North America
12,Bahrain,42.0,63.0,7.0,2.0,Asia
13,Bangladesh,76.0,60.0,9.0,4.25,Asia
14,Barbados,143.0,173.0,36.0,6.3,North America
15,Belarus,142.0,373.0,42.0,14.4,Europe
16,Belgium,295.0,84.0,212.0,10.5,Europe
17,Belize,263.0,114.0,8.0,6.8,North America
18,Benin,34.0,4.0,13.0,1.1,Africa
19,Bhutan,23.0,0.0,0.0,0.4,Asia
20,Bolivia,167.0,41.0,8.0,3.8,South America
21,Bosnia-Herzegovina,76.0,173.0,8.0,4.6,Europe
22,Botswana,173.0,35.0,35.0,5.4,Africa
23,Brazil,245.0,145.0,16.0,7.2,South America
24,Brunei,31.0,2.0,1.0,0.6,Asia
25,Bulgaria,231.0,252.0,94.0,10.3,Europe
26,Burkina Faso,25.0,60.0,7.0,4.3,Africa
27,Burundi,88.0,0.0,0.0,6.3,Africa
28,Cote d'Ivoire,37.0,1.0,7.0,4.0,Africa
29,Cabo Verde,144.0,56.0,16.0,4.0,Africa
30,Cambodia,57.0,65.0,1.0,2.2,Asia
31,Cameroon,147.0,1.0,4.0,5.8,Africa
32,Canada,240.0,122.0,100.0,8.2,North America
33,Central African Republic,17.0,2.0,1.0,1.8,Africa
34,Chad,15.0,1.0,1.0,0.4,Africa
35,Chile,130.0,124.0,172.0,7.6,South America
36,China,79.0,192.0,8.0,5.0,Asia
37,Colombia,76.0,76.0,3.0,4.2,South America
38,Comoros,1.0,3.0,1.0,0.1,Africa
39,Congo,76.0,1.0,9.0,1.7,Africa
40,Cook Islands,0.0,254.0,74.0,5.9,Oceania
41,Costa Rica,149.0,87.0,11.0,4.4,North America
42,Croatia,230.0,87.0,254.0,10.2,Europe
43,Cuba,93.0,137.0,5.0,4.2,North America
44,Cyprus,192.0,154.0,113.0,8.2,Europe
45,Czech Republic,361.0,170.0,134.0,11.8,Europe
46,North Korea,0.0,0.0,0.0,0.0,Asia
47,DR Congo,32.0,3.0,1.0,2.3,Africa
48,Denmark,224.0,81.0,278.0,10.4,Europe
49,Djibouti,15.0,44.0,3.0,1.1,Africa
50,Dominica,52.0,286.0,26.0,6.6,North America
51,Dominican Republic,193.0,147.0,9.0,6.2,North America
52,Ecuador,162.0,74.0,9.0,4.2,South America
53,Egypt,6.0,4.0,1.0,0.2,Africa
54,El Salvador,52.0,69.0,2.0,2.2,North America
55,Equatorial Guinea,92.0,0.0,233.0,5.8,Africa
56,Eritrea,18.0,0.0,0.0,0.5,Africa
57,Estonia,224.0,194.0,59.0,9.5,Europe
58,Ethiopia,20.0,3.0,0.0,0.7,Africa
59,Fiji,77.0,35.0,1.0,2.0,Oceania
60,Finland,263.0,133.0,97.0,10.0,Europe
61,France,127.0,151.0,370.0,11.8,Europe
62,Gabon,347.0,98.0,59.0,8.9,Africa
63,Gambia,8.0,0.0,1.0,2.4,Africa
64,Georgia,76.0,100.0,149.0,5.4,Europe
65,Germany,346.0,117.0,175.0,11.3,Europe
66,Ghana,31.0,3.0,10.0,1.8,Africa
67,Greece,133.0,112.0,218.0,8.3,Europe
68,Grenada,199.0,438.0,28.0,11.9,North America
69,Guatemala,53.0,69.0,2.0,2.2,North America
70,Guinea,9.0,0.0,2.0,0.2,Africa
71,Guinea-Bissau,28.0,31.0,21.0,2.5,Africa
72,Guyana,93.0,302.0,1.0,7.1,South America
73,Haiti,1.0,326.0,1.0,5.9,North America
74,Honduras,69.0,98.0,9.0,3.0,North America
75,Hungary,234.0,215.0,185.0,11.3,Europe
76,Iceland,76.0,61.0,78.0,6.6,Europe
77,India,9.0,114.0,0.0,2.2,Asia
78,Indonesia,5.0,1.0,0.0,0.1,Asia
79,Iran,0.0,0.0,0.0,0.0,Asia
80,Iraq,9.0,3.0,0.0,0.2,Asia
81,Ireland,313.0,118.0,165.0,11.4,Europe
82,Israel,63.0,69.0,9.0,2.5,Asia
83,Italy,85.0,42.0,237.0,6.5,Europe
84,Jamaica,82.0,97.0,9.0,3.4,North America
85,Japan,77.0,202.0,16.0,7.0,Asia
86,Jordan,6.0,21.0,1.0,0.5,Asia
87,Kazakhstan,124.0,246.0,12.0,6.8,Asia
88,Kenya,58.0,60.0,2.0,1.8,Africa
89,Kiribati,21.0,34.0,1.0,1.0,Oceania
90,Kuwait,0.0,0.0,0.0,0.0,Asia
91,Kyrgyzstan,31.0,97.0,6.0,2.4,Asia
92,Laos,62.0,0.0,123.0,6.2,Asia
93,Latvia,281.0,216.0,62.0,10.5,Europe
94,Lebanon,20.0,55.0,31.0,1.9,Asia
95,Lesotho,82.0,29.0,0.0,2.8,Africa
96,Liberia,19.0,152.0,2.0,3.1,Africa
97,Libya,0.0,0.0,0.0,0.0,Africa
98,Lithuania,343.0,244.0,56.0,12.9,Europe
99,Luxembourg,236.0,133.0,271.0,11.4,Europe
100,Madagascar,26.0,15.0,4.0,0.8,Africa
101,Malawi,8.0,60.0,1.0,1.5,Africa
102,Malaysia,13.0,4.0,0.0,0.3,Asia
103,Maldives,0.0,0.0,0.0,0.0,Asia
104,Mali,5.0,1.0,1.0,0.6,Africa
