country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
Afghanistan,0.0,0.0,0.0,0.0,Asia
Albania,89.0,132.0,54.0,4.9,Europe
Algeria,25.0,0.0,14.0,0.7,Africa
Angola,217.0,57.0,45.0,5.9,Africa
Antigua & Barbuda,102.0,128.0,45.0,4.9,North America
Armenia,21.0,179.0,11.0,3.8,Europe
Azerbaijan,21.0,46.0,5.0,1.3,Europe
Bahamas,122.0,176.0,51.0,6.3,North America
Bahrain,42.0,63.0,7.0,2.0,Asia
Bangladesh,76.0,60.0,9.0,4.25,Asia
Barbados,143.0,173.0,36.0,6.3,North America
Belize,263.0,114.0,8.0,6.8,North America
Benin,34.0,4.0,13.0,1.1,Africa
Bhutan,23.0,0.0,0.0,0.4,Asia
Bolivia,167.0,41.0,8.0,3.8,South America
Bosnia-Herzegovina,76.0,173.0,8.0,4.6,Europe
Botswana,173.0,35.0,35.0,5.4,Africa
Brazil,245.0,145.0,16.0,7.2,South America
Brunei,31.0,2.0,1.0,0.6,Asia
Bulgaria,231.0,252.0,94.0,10.3,Europe
Burkina Faso,25.0,60.0,7.0,4.3,Africa
Burundi,88.0,0.0,0.0,6.3,Africa
Cote d'Ivoire,37.0,1.0,7.0,4.0,Africa
Cabo Verde,144.0,56.0,16.0,4.0,Africa
Cambodia,57.0,65.0,1.0,2.2,Asia
Cameroon,147.0,1.0,4.0,5.8,Africa
Canada,240.0,122.0,100.0,8.2,North America
Central African Republic,17.0,2.0,1.0,1.8,Africa
Chad,15.0,1.0,1.0,0.4,Africa
China,79.0,192.0,8.0,5.0,Asia
Colombia,76.0,76.0,3.0,4.2,South America
Comoros,1.0,3.0,1.0,0.1,Africa
Congo,76.0,1.0,9.0,1.7,Africa
Cook Islands,0.0,254.0,74.0,5.9,Oceania
Costa Rica,149.0,87.0,11.0,4.4,North America
Cuba,93.0,137.0,5.0,4.2,North America
Cyprus,192.0,154.0,113.0,8.2,Europe
